ROI,n_peaks,mean_amp,Ca2+_frequency_Hz,prominence_threshold_used
1,97,0.06044537201523781,0.4841149773071104,0.030702422527440806
2,90,0.09429695457220078,0.44994944388270974,0.04155666936417078
3,75,0.09402386844158173,0.3727020901536137,0.04754664987768389
4,88,0.09020304679870605,0.4386186034786992,0.042464256401388095
5,109,0.07777563482522964,0.5401350337584396,0.04116631858091687
6,94,0.07143673300743103,0.4654654654654656,0.0354037566678478
7,84,0.08798917382955551,0.4146889832625531,0.04102826676749037
8,85,0.09351620078086853,0.42402826855123676,0.043463663714948524
9,86,0.08909358829259872,0.4255319148936169,0.0421663239149275
10,84,0.08891569077968597,0.4180307227398641,0.043372155548240504
